match_type,pattern,category,priority,note
contains,6+boy,meta,95,人数タグ
contains,railing,background,85,建築部品
contains,taking_picture,pose,85,動作
contains,turtleneck,costume,90,衣装
contains,bridal_gauntlet,costume,90,衣装
contains,bucket,background,85,小物
contains,butt_crack,appearance,90,身体露出
contains,furrowed_brow,emotion,90,表情
contains,obi,costume,90,衣装
contains,blue_footwear,costume,90,履物
contains,constricted_pupil,appearance,90,瞳特徴
contains,hose,background,80,道具
contains,just_the_tip,pose,90,行為
contains,pulling_another,pose,90,接触動作
contains,futon,background,85,寝具
contains,pink_nail,appearance,90,爪装飾
contains,child,appearance,85,人物属性
contains,musical_note,composition,85,漫画演出
contains,arm_strap,costume,90,衣装
contains,bite_mark,appearance,85,身体痕
contains,people,background,80,人物群
contains,pointing,pose,90,手ポーズ
contains,cosplay,costume,90,衣装
contains,indian_style,pose,90,座り方
contains,lantern,background,85,照明
contains,pregnant,appearance,90,身体状態
contains,red_footwear,costume,90,履物
contains,ring,costume,90,アクセサリ
contains,stair,background,85,建築
contains,bubble,background,85,小物
contains,dirty,appearance,85,状態
contains,glowing,composition,85,光表現
contains,long_bang,appearance,90,前髪
contains,rock,background,85,自然物
contains,shouji,background,85,建築
contains,sword,meta,85,武器
contains,arms_at_side,pose,90,腕ポーズ
contains,gift,background,85,小物
contains,old,appearance,80,人物特徴
contains,single_bare_shoulder,appearance,90,露出
contains,staff,meta,85,武器
contains,underbust,appearance,90,身体露出
contains,:p,emotion,85,顔文字
contains,black-framed_eyewear,costume,90,アクセサリ
contains,cropped_torso,composition,85,構図
contains,hands_on_own_knee,pose,90,手ポーズ
contains,lace,costume,90,衣装素材
contains,shade,composition,85,陰影
contains,headband,costume,90,アクセサリ
contains,the_pose,pose,85,ポーズ
contains,bath,background,85,場所
contains,hand_to_own_mouth,pose,90,手ポーズ
contains,rain,background,85,天候
contains,train_interior,background,85,場所
contains,white_pupil,appearance,90,瞳特徴
contains,abs,appearance,90,身体特徴
contains,angel,appearance,85,キャラ属性
contains,cherry_blossom,background,85,植物
contains,headgear,costume,90,衣装
contains,heads_together,pose,90,頭ポーズ
contains,spoken_exclamation_mark,composition,85,漫画演出
contains,hands_on_own_chest,pose,90,手ポーズ
contains,paw_print,background,85,痕跡
contains,santa_costume,costume,90,衣装
contains,spot_color,composition,85,描画表現
contains,emblem,costume,85,装飾
contains,hand_on_own_knee,pose,90,手ポーズ
contains,presenting,pose,85,動作
contains,spoon,background,85,小物
contains,light_particle,composition,85,光演出
contains,shore,background,85,自然
contains,ceiling,background,85,建築
contains,headpat,pose,90,動作
contains,cheerleader,costume,90,衣装
contains,claw_pose,pose,90,手ポーズ
contains,lane_line,background,85,設備
contains,hand_on_own_cheek,pose,90,手ポーズ
contains,4koma,composition,85,漫画形式
contains,hands_on_own_cheek,pose,90,手ポーズ
contains,wind,background,85,自然現象
contains,buckle,costume,90,衣装パーツ
contains,bullpup,meta,85,武器属性
contains,downblouse,composition,85,視点構図
contains,eyepatch,costume,90,アクセサリ
contains,kitchen,background,85,場所
contains,bokeh,composition,85,写真表現
contains,circlet,costume,90,アクセサリ
contains,hands_on_own_hip,pose,90,手ポーズ
contains,median_furrow,appearance,85,身体特徴
contains,nintendo_switch,background,85,小物
contains,silhouette,composition,85,表現
