tag,category,count,genre,ja,memo
pozyomka_(arknights),4,723,arknights,パゼオンカ,"鸿雪,Позёмка"
isometric,0,723,,アイソメトリック,
otomune_kozue,4,722,,乙宗梢,"乙宗梢,かほこず"
minamino_kanade,4,722,,南野奏,
nakamura_yuri,4,722,,仲村ゆり,ゆりっぺ
gundam_seed_freedom,3,722,,機動戦士ガンダムSEEDFREEDOM,"ガンダムSEEDFREEDOM,SEEDFREEDOM,劇場版SEED"
golf_club,0,722,,ゴルフクラブ,"골프채,高爾夫球桿"
tomoe_gozen_(swimsuit_saber)_(fate),4,722,fate,巴御前,
i-no,4,722,,イノ,I-NO
aketa_mikoto,4,721,,緋田美琴,아케타_미코토
record,0,721,,レコード,
leaf_umbrella,0,721,,葉っぱの傘,
sora_(kingdom_hearts),4,721,kingdom_hearts,ソラ,
fascinator,0,721,,ファシネーター,カクテルハット
spread_navel,0,721,,おへそくぱぁ,
meteor_shower,0,721,,流星雨,
azusawa_kohane,4,720,,小豆沢こはね,"小豆澤心羽,冬こは,杏こは"
fukawa_toko,4,720,,腐川冬子,
tenshi_souzou_re-boot!,3,720,,天使騒々,"天使☆騒々,天使騒々RE-BOOT!"
math,0,720,,数学,算数
altaria,4,720,,チルタリス,チルタリスの日
kuro_no_kiseki_i,3,720,,黎の軌跡,"軌跡シリーズ,黎之轨迹"
qi_lolita,0,720,,華ロリ,"中華ロリ,華ロリータ,中華ロリータ,華ロリィタ,中華ロリィタ"
multiple_riders,0,719,,二人乗り,
female_protagonist_(pokemon_go),4,719,pokemon_go,女トレーナー,女トレーナー
kureiji_ollie_(1st_costume),4,719,1st_costume,クレイジー・オリー,
black_hole,0,719,,ブラックホール,
miyamoto_iori_(fate),4,719,fate,宮本伊織,
licking_breast,0,719,,乳舐め,
kawakami_sadayo,4,719,,川上貞代,
kishinami_(kancolle),4,719,kancolle,岸波,岸波
gray_(fate),4,719,fate,グレイ,グレイ
momozono_love,4,719,,桃園ラブ,
tamagoyaki,0,719,,卵焼き,"玉子焼き,玉子烧"
lili_(tekken),4,718,tekken,リリ,"リリ,エミリ・ド・ロシュフォール"
cecilia_alcott,4,718,,セシリア・オルコット,
kindred_(league_of_legends),4,718,league_of_legends,キンドレッド,"kindred,킨드레드"
to_heart,3,718,,トゥハート,"ToHeart,同班同學,青春紀事"
soukou_akki_muramasa,3,718,,装甲悪鬼村正,
rosa_(arknights),4,718,arknights,ロサ,"早露,ロサ,ポカ,ポカ(アークナイツ),Роса"
capcom_fighting_jam,3,718,,カプコンファイティングジャム,
sato_shin,4,717,,佐藤心,
xenogears,3,717,,ゼノギアス,xenogears
one_piece_film:_red,3,717,,RED,
chastity_cage,0,717,,貞操具,貞操帯
sakura_(fire_emblem),4,717,fire_emblem,サクラ,
rice_paddy,0,717,,田んぼ,"水田,田"
cinnamiku,4,717,,シナミク,"シナモン,シナモンミク"
cello,0,717,,チェロ,"ヴィオロンチェロ,大提琴"
natsume_rin,4,717,,棗鈴,
flcl,3,716,,フリクリ,
berry_(pokemon),0,716,pokemon,きのみ,"木の実,berry,berries"
himemushi_momoyo,4,716,,姫虫百々世,"姬虫百百世,히메무시모모요"
rin_(blue_archive),4,716,blue_archive,七神リン,나나가미린
himesaka_noa,4,716,,姫坂乃愛,
yuel_(granblue_fantasy),4,716,granblue_fantasy,ユエル,ユエル
otter,0,715,,カワウソ,かわうそ
nelson_(kancolle),4,715,kancolle,ネルソン,"ネルソン,ネルソン(艦これ),Nelson"
kurapika,4,715,,クラピカ,"クラピカ♀,酷拉皮卡"
prison,0,715,,牢屋,監獄
mudkip,4,715,,ミズゴロウ,ミズゴロウの日
pan_(dragon_ball),4,715,dragon_ball,パン,"パン,パン(DB)"
mauser_98,0,714,,G98,"Gew98,Kar98k"
fushiguro_touji,4,714,,伏黒甚爾,伏黑甚尔
hatsune_miku_(append),4,714,append,初音ミクappend,初音ミクアペンド
scaramouche_(kabukimono)_(genshin_impact),4,714,genshin_impact,傾奇者,"倾奇者,Kabukimono"
kidou_senkan_nadesico,3,714,,機動戦艦ナデシコ,
kagura_(gintama),4,714,gintama,神楽,"神楽,沖神,沖神兄"
sanoba_witch,3,714,,サノバウィッチ,"魔女的夜宴,サノバウイッチ"
talulah_(arknights),4,713,arknights,タルラ,"塔露拉,タルラ"
chris_redfield,4,713,,クリス・レッドフィールド,
oribe_yasuna,4,712,,折部やすな,
toddlercon,0,712,,ペド,
ichigo_mashimaro,3,712,,苺ましまろ,
kaname_raana,4,712,,要楽奈,要乐奈
m16,0,712,,M16,"M16A1,M16A4"
incoming_kiss,0,712,,キス待ち,"キス待ち顔,キス顔"
masu,0,712,,升,"枡,桝"
metamoran_vest,0,712,,メタモル星人の民族衣装,"メタモル星人の衣装,メタモル星人の合体"
meursault_(project_moon),4,711,project_moon,ムルソー,ムルグレ
queen_elizabeth_(azur_lane),4,711,azur_lane,クイーン・エリザベス,"伊丽莎白女王(碧蓝航线),クイーン・エリザベス"
self_cosplay,0,711,,セルフコスプレ,
rei_(pokemon),4,711,pokemon,テル,"男主人公(LEGENDS),テルショウ"
7th_dragon_(series),3,711,series,セブンスドラゴン,第七龙神
millie_parfait,4,710,,ミリー・パフェ,"DrawMillie,MillieParfait,CreaMillie,calamitybird"
piers_(pokemon),4,710,pokemon,ネズ,"ネズ,キバネズ"
symboli_kris_s_(umamusume),4,710,umamusume,シンボリクリスエス,"シンボリクリスエス,ボリクリ"
mount_fuji,0,710,,富士山,"🗻,富士山"
ghislaine_dedoldia,4,710,,ギレーヌ・デドルディア,ギレーヌ
kinich_(genshin_impact),4,710,genshin_impact,キィニチ,"Kinich,基尼奇"
cure_black,4,709,,キュアブラック,
prinny,4,709,,プリニー,
perseus_(azur_lane),4,709,azur_lane,パーシュース,"パーシュース,パーシューズ,英仙座"
airani_iofifteen,4,709,,アイラニ・イオフィフティーン,"Airani_Iofifteen,AiraniIofifteen,IoArts,イオフィ"
easter,0,709,,イースター,"イースターバニー,イースター・バニー,復活祭,复活节"
yu_yu_hakusho,3,709,,幽☆遊☆白書,"幽遊白書,幽☆遊☆白書"
tsuchinoko_(kemono_friends),4,708,kemono_friends,ツチノコ,
lin_(arknights),4,707,arknights,リン,"林,林雨霞,リン,リン・ユーシャ,リン・ユーシャ(アークナイツ)"
nige_jouzu_no_wakagimi,3,707,,逃げ上手の若君,"逃げ若,逃げ若【腐】,the_elusive_samurai"
maou_(maoyuu),4,707,maoyuu,魔王,紅の学士
kazami_yuuka_(pc-98),4,706,pc-98,旧作幽香,宵闇小町
anisphia_wynn_palettia,4,706,,アニスフィア・ウィン・パレッティア,"アニスフィア・ウィンパレッティア,艾妮丝菲亚·温·帕雷提亚"
kama_(swimsuit_avenger)_(fate),4,705,fate,カーマ,
fluorescent_lamp,0,705,,蛍光灯,
liskarm_(arknights),4,705,arknights,リスカム,"雷蛇,リスカム"
okita_j._souji_(fate),4,705,fate,オキタ・J・ソウジ,沖田総司(水着)
queen's_blade_rebellion,3,705,,クイーンズブレイドリベリオン,
kyonko,4,705,,キョン子,古キョン子
zhong_lanzhu,4,704,,鐘嵐珠,"鐘嵐珠,钟岚珠"
keep_out,0,704,,キープアウトテープ,
erza_scarlet,4,704,,エルザ,"エルザ・スカーレット,erza,jerza"
uta_(one_piece),4,704,one_piece,ウタ,ウタ
nekomonogatari,3,704,,猫物語,
sirius_(scorching-hot_seirios)_(azur_lane),4,704,azur_lane,盛夏のセイリオス,盛夏的Seirios
douki-chan_(douki-chan),4,704,douki-chan,同期ちゃん,
strike_witches:_kurenai_no_majo-tachi,3,704,,ストライクウィッチーズ紅の魔女たち,紅の魔女たち
tanino_gimlet_(umamusume),4,703,umamusume,タニノギムレット,"タニノギムレット,谷野美酒"
murasaki_shion_(gothic_lolita),4,702,gothic_lolita,紫咲シオン,紫咲シオン(ゴスロリ)
coconut_tree,0,702,,椰子の木,"椰子,やしのき,ヤシの木"
astesia_(arknights),4,702,arknights,アステシア,"星极,아스테시아"
y2k_fashion,0,702,,y2k,"y2kfashion,y2kaesthetic,y2k_aesthetic,y2k_style,y2kstyle"
angewomon,4,702,,エンジェウーモン,"天女獸,天女兽"
aragaki_ayase,4,701,,新垣あやせ,新垣绫濑
lamb_(league_of_legends),4,701,league_of_legends,ヒツジ,"kindred,lamb"
monkey_girl,0,701,,猿娘,
galleon_(granblue_fantasy),4,701,granblue_fantasy,ガレヲン,
ten'ou_haruka,4,701,,天王はるか,
asahina_mirai,4,701,,朝日奈みらい,
klara_(pokemon),4,701,pokemon,クララ,"クララ,クララっぱい,ユウクラ"
western_comics_(style),0,701,style,アメコミ風,アメコミ
allister_(pokemon),4,700,pokemon,オニオン,"オニオン,素顔オニオン,歐尼奧,オニユウ,ユウオニ,キバオニ"
aquila_(kancolle),4,700,kancolle,アクィラ,"アクィラ(艦これ),アクィラ,アクグラ"
yaoyao_(genshin_impact),4,700,genshin_impact,ヨォーヨ,"瑶瑶(原神),瑶瑶,yaoyao,Yooyo,요요,Yo-yo"
mosin-nagant,0,700,,モシン・ナガン,Винтовка_Мосина
red_star,0,700,,赤い星,紅星
okazaki_yumemi,4,700,,岡崎夢美,오카자키유메미
lain_paterson,4,700,,レインの依頼書,レイン・パターソン
yamagumo_(kancolle),4,699,kancolle,山雲,"山雲(艦これ),山雲"
majin_android_21,4,699,,魔人21号,MajinAndroid21
kuromi,4,699,,クロミ,クロミ様
scheherazade_(fate),4,699,fate,シェヘラザード,"不夜城のキャスター,シェヘラザード"
vert_(neptunia),4,699,neptunia,ベール,ベール
orca,0,699,,シャチ,鯱
runny_nose,0,698,,鼻水,
focalors_(genshin_impact),4,698,genshin_impact,フォカロルス,"focalor,focalors"
nice_nature_(run&win)_(umamusume),4,698,umamusume,轟け、エール!トレセン学園応援団,RUN&WIN
semiramis_(fate),4,698,fate,セミラミス,"セミラミス,赤のアサシン"
ak-15_(girls'_frontline),4,698,girls'_frontline,AK-15,"AK-15,AK-15(少女前線)"
daring_tact_(umamusume),4,698,umamusume,デアリングタクト,デアリングタクト
usada_pekora_(casual),4,698,casual,兎田ぺこら,兎田ぺこら(私服)
niko_(blue_archive),4,698,blue_archive,ニコ,"niko,nico,ニコ"
rerebrace,0,698,,リアブレイス,上腕甲
sakuramori_kaori,4,697,,桜守歌織,
shikanoko_nokonoko_koshitantan,3,697,,しかのこのこのここしたんたん,"鹿乃子乃子虎视眈眈,鹿乃子乃子虎視眈眈,My_Deer_Friend_Nokotan,しかのこ"
annette_fantine_dominic,4,697,,アネット=ファンティーヌ=ドミニク,
z3_max_schultz_(swimsuit_mode)_(kancolle),4,697,kancolle,Z3マックス・シュルツ(水着),Z3(水着)
murosaki_miyo,4,697,,室崎みよ,
smelling_penis,0,697,,ちんこくんか,ちん嗅ぎ
baton_(weapon),0,697,weapon,警棒,
saint_quartz_(fate),0,696,fate,聖晶石,
chess,0,696,,チェス,"체스,國際象棋"
9a-91_(girls'_frontline),4,696,girls'_frontline,9A-91,"9a91,9A-91,9A-91(少女前線)"
paper_crane,0,696,,折鶴,千纸鹤
nekomata_okayu_(casual),4,696,casual,猫又おかゆ,
adam's_apple,0,696,,のどぼとけ,"喉仏,喉頭隆起,喉结"
aponia_(honkai_impact),4,696,honkai_impact,アポニア,"阿波尼亚,Aponia"
yuna_(ff10),4,696,ff10,ユウナ,
kalina_(girls'_frontline),4,695,girls'_frontline,カリーナ,"kalina,格林娜,格琳娜,카리나,カリーナ"
normal_suit,0,695,,ノーマルスーツ,
fujisaki_chihiro,4,695,,不二咲千尋,
columbina_(genshin_impact),4,695,genshin_impact,コロンビーナ,"Columbina,Damselette,コランビーナ,哥伦比娅,arlebina"
murano_sayaka,4,695,,村野さやか,
holographic_clothing,0,694,,ホログラフィック生地,镭射服装
mawile,4,694,,クチート,
police_car,0,694,,パトカー,パトロールカー
yosuga_no_sora,3,694,,ヨスガノソラ,
danganronpa_another_episode:_ultra_despair_girls,3,694,,絶対絶望少女,
changing_room,0,694,,脱衣所,
kfc,3,694,,ケンタッキーフライドチキン,肯德基
zima_(arknights),4,693,arknights,ズィマー,"凛冬,Зима,ズィマー"
voms,3,693,,VOMS新メンバー発表会,"voms_project,VOMS1周年記念,VOMS2周年記念,VOMS3周年記念,VOMS新メンバー2023,VOMS4周年記念"
marshmallow,0,693,,マシュマロ,"ギモーブ,マシマロ,マシュマロ,绵糖,卷糖"
kohinata_miku,4,693,,小日向未来,
2009,0,693,,2009年,平成21年
oyakodon_(sex),0,692,sex,母娘丼,
cardfight!!_vanguard,3,692,,カードファイト!!ヴァンガード,ヴァンガ【腐】cf_vanguard
jetpack,0,692,,ジェットパック,
satanichia_kurumizawa_mcdowell,4,691,,胡桃沢=サタニキア=マクドウェル,"サターニャ,ラフィサタ,ガヴサタ"
sensei_(blue_archive_the_animation),4,691,blue_archive_the_animation,アニメ先生,
arms_(game),3,691,game,ARMS,ARMS
hanami,0,691,,お花見,"花見,梅見,赏樱"
reisen_(touhou_bougetsushou),4,691,touhou_bougetsushou,レイセン,レイセン2号
chocola_(nekopara),4,691,nekopara,ショコラ,
wizard,0,691,,魔法使い,
valkyrie_(fate),4,691,fate,ワルキューレ,
decora,0,691,,デコラ,"デコラ系,デコラファッション"
bennett_(genshin_impact),4,690,genshin_impact,ベネット,"班尼特,ベネット,Bennett"
momoe_nagisa,4,690,,百江なぎさ,百江渚
vita_(nanoha),4,690,nanoha,ヴィータ,
female_butler,0,690,,女執事,
tohno_shiki,4,690,,遠野志貴,
amagi_(kancolle),4,690,kancolle,天城,"天城,天城(艦隊これくしょん)"
pokemon_tcg,3,689,,ポケモンカードゲーム,
i-13_(kancolle),4,689,kancolle,伊13,"伊13,伊13(艦これ),ひとみ,ひとみちゃん,イ13,イ13(艦隊これくしょん),イ13(艦これ)伊13(艦これ)"
adeptus_astartes,4,689,,スペースマリーン,
furukawa_nagisa,4,689,,古河渚,岡崎渚
hagoromo_lala,4,689,,羽衣ララ,
maomao_(kusuriya_no_hitorigoto),4,689,kusuriya_no_hitorigoto,猫猫,"maomao,壬猫"
rosemi_lovelock,4,689,,ロゼミ・ラブロック,"GalleryOfRoses,RosemiLovelock,lunarrose"
sothis_(fire_emblem),4,688,fire_emblem,ソティス,ソティス
yakumo_beni,4,688,,八雲べに,べにっき
joseph_joestar,4,688,,ジョセフ・ジョースター,
chocobo,0,687,,チョコボ,
coffee_pot,0,687,,コーヒーポット,
cinderace,4,687,,エースバーン,
melony_(pokemon),4,687,pokemon,メロン,"メロン,メロンママ,Melony"
bache_(azur_lane),4,686,azur_lane,バッチ,"バッチ,贝奇,배시"
ghost_(modern_warfare_2),4,686,modern_warfare_2,ゴースト,
puppy,0,686,,こいぬ,
saya_no_uta,3,686,,沙耶の唄,"sayanouta,The_Song_of_Saya,songofsaya,沙耶之歌,沙耶の呗"
male_on_futa,0,686,,男×ふた,
kel_(omori),4,685,omori,KEL,
secelia_dote,4,685,,セセリア・ドート,
manabe_nodoka,4,685,,真鍋和,
bokken,0,685,,ぼっけん,"木剣,木刀,ぼくとう"
gate_-_jieitai_ka_no_chi_nite_kaku_tatakaeri,3,685,,自衛隊彼の地にて、斯く戦えり,GATE
hakurei_reimu_(pc-98),4,685,pc-98,旧作霊夢,旧作靈夢
isobe_noriko,4,685,,磯辺典子,"磯辺典子,キャプリリ"
fish_bone,0,685,,魚の骨,
nayuta_(chainsaw_man),4,684,chainsaw_man,ナユタ,
wixoss,3,684,,ウィクロス,WIXOSS
kickboard,0,684,,ビート板,浮板
final_fight,3,684,,ファイナルファイト,
phoenix_wright,4,684,,成歩堂龍一,"成歩堂龍一,成步堂龙一,ナルオド,オドナル,ナルミツ,ミツナル,wrightworth,王成,成王,御成,成御,成真"
takimoto_hifumi,4,684,,滝本ひふみ,
carried_breast_rest,0,683,,おっぱいプレート,"おっぱいトレイ,乗せ乳"
tales_of_xillia,3,683,,テイルズ・オブ・エクシリア,"テイルズオブエクシリア,エクシリア,TOX"
hiodoshi_ao,4,683,,火威青,火威青
miquella_(elden_ring),4,683,elden_ring,聖樹のミケラ,ミケラ
mitsudomoe_(manga),3,683,manga,みつどもえ,
lance_of_longinus_(evangelion),0,683,evangelion,ロンギヌスの槍,"longinus_no_yari,holy_lance,holy_spear,spear_of_destiny"
bathhouse,0,682,,銭湯,
celes_chere,4,682,,セリス・シェール,セリス
lenna_charlotte_tycoon,4,682,,レナ・シャルロット・タイクーン,
chrom_(fire_emblem),4,682,fire_emblem,クロム,"クロム,Chrom"
rural,0,681,,田舎,田園
riza_hawkeye,4,681,,リザ・ホークアイ,
sekiro:_shadows_die_twice,3,681,,隻狼,sekiro
cyber_fashion,0,681,,サイバーファッション,"cyber,cyberpop,サイバー"
sage_(dq3),4,681,dq3,賢者,女賢者
fubuki_(swimsuit)_(blue_archive),4,680,blue_archive,合歓垣フブキ,
cyrillic,0,680,,キリル文字,
momosuzu_nene_(1st_costume),4,680,1st_costume,桃鈴ねね,
problem_solver_68_(blue_archive),0,680,blue_archive,便利屋68,Handyman_68
zero_no_kiseki,3,680,,零の軌跡,軌跡シリーズ
peni_parker,4,680,,ペニー・パーカー,"ペニーパーカー,PeniParker"
fender_stratocaster,0,680,,ストラトキャスター,ストラト
hand_grip,0,680,,つり革,"吊革,train_ring"
laura_la_mer,4,680,,ローラ,"ローラ・アポロドーロス・ヒュギーヌス・ラメール,ローラ・ラメール"
nakagawa_natsuki,4,679,,中川夏紀,
fallen_angel,0,679,,堕天使,
rupa_(girls_band_cry),4,679,girls_band_cry,ルパ,ルパ
rozaliya_olenyeva,4,678,,ロザリア・アーリン,"萝萨莉娅,ロザリア・アリーン,ロザリア"
bee,0,678,,蜂,
ara_haan,4,678,,アラ,"Ara,アラ・ハーン,Ara・Haan"
yatadera_narumi,4,678,,矢田寺成美,야타데라나루미
hataraku_maou-sama!,3,678,,はたらく魔王さま!,打工吧!魔王大人
aizawa_ema,4,678,,藍沢エマ,えまぁーと
medusa_(lancer)_(fate),4,677,fate,メドゥーサ,
maebara_keiichi,4,677,,前原圭一,
negative_space,0,677,,余白,
gingham,0,677,,ギンガム,ギンガムチェック
rudeus_greyrat,4,677,,ルーデウス・グレイラット,ルディ
karate_gi,0,677,,空手着,空手衣
nyarlathotep_(nyaruko-san),4,677,nyaruko-san,ニャル子,"ニャルラトホテプ,奈亚子"
brain,0,677,,脳,"脳,髄,脑"
volo_(pokemon),4,677,pokemon,ウォロ,"ウォロ,ウォロショウ"
steel_ball_run,3,677,,スティール・ボール・ラン,"SBR,7部,SBR_animation"
k-pop,0,677,,Kポップ,KPOP
tenka_hyakken,3,677,,天華百剣,
casing_ejection,0,677,,排莢,
world_cup,3,676,,ワールドカップ,"FIFAワールドカップ,W杯,世界杯"
chloe_(princess_connect!),4,676,princess_connect!,クロエ,"クロエ,黒江花子"
ayatsuji_tsukasa,4,676,,絢辻詞,
seal_(animal),0,676,animal,アザラシ,
signora_(genshin_impact),4,676,genshin_impact,シニョーラ,"signora,la_signora,lasignora,シニョーラ,女士,시뇨라"
tatsumi_kanji,4,676,,巽完二,
twintails_day,0,676,,ツインテールの日,ツインテの日
thorns_(arknights),4,676,arknights,ソーンズ,棘刺
giorno_giovanna,4,676,,ジョルノ・ジョバアーナ,"ジョルノ・ジョバァーナ,ジョルミス"
super_robot_wars_original_generation,3,675,,スーパーロボット大戦OG,"スパロボOG,SRWOG"
huohuo_(honkai:_star_rail),4,675,honkai:_star_rail,フォフォ,"藿藿,huohuo"
railroad_crossing,0,675,,踏切,
adjusting_buruma,0,675,,食い込み直し,
killua_zoldyck,4,675,,キルア,"キルア=ゾルディック,キルゴン,奇犽"
popuko,4,675,,ポプ子,
bond_(spy_x_family),4,675,spy_x_family,ボンド,ボンド
musket,0,674,,マスケット銃,
vanilla_(nekopara),4,674,nekopara,バニラ,
priest_(dq3),4,674,dq3,女僧侶,"僧侶,souryo,pilgrim,cleric,priest,女僧侶"
imai_lisa,4,674,,今井リサ,
grizzly_mkv_(girls'_frontline),4,674,girls'_frontline,グリズリー,"グリズリー,Grizzly,그리즐리,グリズリーMkV,グリズリー(少女前線),灰熊MKV"
mew_(pokemon),4,674,pokemon,ミュウ,mew
apple_inc.,3,674,,Apple_Inc.,
sobble,4,674,,メッソン,
cumdump,0,673,,肉便器,
venat_(ff14),4,673,ff14,ヴェーネス,"维涅斯,베네스"
haruna_(track)_(blue_archive),4,673,blue_archive,ハルナ,黒舘ハルナ(体操服)
perfect_cherry_blossom,3,673,,東方妖々夢,
litwick,4,673,,ヒトモシ,
oshiete!_galko-chan,3,673,,おしえて!ギャル子ちゃん,
manaka_laala,4,673,,真中らぁら,"真中啦啦,そらみスマイル"
hijiri_ageha,4,672,,聖あげは,
free!,3,672,,Free!,"Free!,腐ree!"
nikka_edvardine_katajainen,4,672,,ニッカ・エドワーディン・カタヤイネン,
military_operator,0,672,,特殊部隊,"SOF,specialforces,specialoperations,commando"
saya_(saya_no_uta),4,672,saya_no_uta,沙耶,
hatsuharu_(kancolle),4,672,kancolle,初春,"初春,初春(艦これ)"
humboldt_penguin_(kemono_friends),4,672,kemono_friends,フンボルトペンギン,"フンボルトペンギン,フルル,とうぶどうぶつこうえんコンビ,ふるるあーと"
diaper,0,672,,おむつ,"おしめ,オムツ画像の供給はもっと増えるべき"
chrysanthemum,0,671,,菊,
gravity_daze,3,671,,グラビティデイズ,"GRAVITYDAZE,グラビティラッシュ,gravityrush"
charlotte_(genshin_impact),4,671,genshin_impact,シャルロット,"Charlotte,夏洛蒂,シャルロット"
birthmark,0,671,,母斑,
tiger_&_bunny,3,671,,タイガーアンドバニー,"TIGER&BUNNY,T&B,タイバニ"
helm_(nikke),4,671,nikke,ヘルム,"ヘルム(NIKKE),헬름(NIKKE)"
monomi_(danganronpa),4,670,danganronpa,モノミ,ウサミ
anis_(sparkling_summer)_(nikke),4,670,nikke,アニス:スパークリングサマー,
surfing,0,670,,波乗り,サーフィン
dress_shoes,0,669,,革靴,
optimus_prime,4,669,,コンボイ,"コンボイ司令官,オプティマス・プライム,オプティマスプライム,OptimusPrime,私にいい考えがある"
evelynn_(league_of_legends),4,669,league_of_legends,イヴリン(リーグ・オブ・レジェンド),伊芙琳
saiyan,0,669,,サイヤ人,女サイヤ人
takeuchi_takashi_(style),0,668,style,武内崇風,"武内崇,野生の武内"
negev_(girls'_frontline),4,668,girls'_frontline,ネゲヴ,"内格夫,negev,NEGEV,ネゲヴ,ネゲヴ(少女前線),Negev(少女前線),Negev(ドールズフロントライン),네게브"
gogeta,4,668,,ゴジータ,"ゴジータ,超ゴジータ,ゴジータブルー"
rx-78-2,4,668,,RX-78-2,RX-78
raccoon,0,668,,アライグマ,"🦝,あらいぐま"
nihonga,0,668,,日本画,
sam_(honkai:_star_rail),4,668,honkai:_star_rail,サム,サム
food_packaging,0,668,,食べ物包装,
latias,4,667,,ラティアス,
yami_kawaii,0,667,,病みかわいい,"Menhera_Kei,病みかわ,yamikawaii,gurokawa,やみかわいい,gurokawaii"
flak_jacket,0,667,,フラックジャケット,
stahlhelm,0,667,,シュタールヘルム,
shirayuki_chiyo,4,667,,白雪千夜,
tezcatlipoca_(fate),4,667,fate,テスカトリポカ,
faris_scherwiz,4,667,,ファリス・シェルヴィッツ,
resident_evil_village,3,666,,バイオハザード8,"BIOHAZARD_8,BIOHAZARD_VIII,Biohazard_village,RE8,バイオ8"
yukimura_aoi,4,666,,雪村あおい,
nissan,0,666,,日産,日産自動車
arcade_cabinet,0,665,,アーケードゲーム筐体,
tickling_feet,0,665,,足こちょ,
soft_serve,0,665,,ソフトクリーム,
japan,0,665,,日本,"日本国,일본,🗾"
chikorita,4,665,,チコリータ,
hakozaki_serika,4,665,,箱崎星梨花,
vacuum_cleaner,0,665,,掃除機,
manya_(dq4),4,665,dq4,マーニャ,マーニャ
gastly,4,664,,ゴース,
judgement_(helltaker),4,664,helltaker,ジャッジメント,
tenma_saki,4,664,,天馬咲希,
mountain_(arknights),4,664,arknights,マウンテン,山
black_heart_(neptunia),4,664,neptunia,ブラックハート,"ブラックハート,black_heart"
zack_fair,4,664,,ザックス・フェア,ザックス
roland_(project_moon),4,664,project_moon,ローラン,ローラン
stile_uniform,0,664,,スティーレ,
nanashi_mumei_(casual),4,663,casual,七詩ムメイ,"七詩ムメイ(私服),七詩ムメイのカジュアル衣装"
harley_quinn,4,663,,ハーレイ・クイン,"ハーレークイン,ハーレイクイン,HarleyQuinn"
mishaguji,4,663,,ミシャグジさま,"ミシャグジ様,ミシャグジさま,祟符「ミシャグジさま」,土着神「御射軍神さま」"
halfling,0,663,,ハーフリング,
nintendo_3ds,0,662,,ニンテンドー3DS,
south_dakota_(kancolle),4,662,kancolle,サウスダコタ,"SouthDakota,サウスダコタ,サウスダコタ(艦隊これくしょん),SouthDakota(艦隊これくしょん),SouthDakota(艦これ)"
donkey_kong_(series),3,662,series,ドンキーコング,
deadpool_(series),3,662,series,Deadpool,
lane_line,0,662,,コースロープ,
hanae_(blue_archive),4,662,blue_archive,朝顔ハナエ,하나에
orfevre_(umamusume),4,662,umamusume,オルフェーヴル,オルフェーヴル
garnet_til_alexandros_xvii,4,662,,ガーネット・ティル・アレクサンドロス17世,
ak-47,0,661,,AK47,АК-47
cash_register,0,661,,キャッシュレジスター,レジ
kamio_misuzu,4,661,,神尾観鈴,
cabbage,0,661,,キャベツ,
running_track,0,661,,ランニングトラック,"跑道(体育),トラック"
choke_hold,0,661,,絞技,stranglehold
euphyllia_magenta,4,660,,ユフィリア・マゼンタ,"ユフィリアマゼンタ,尤菲莉亚·玛赞塔"
anjou_naruko,4,660,,あなる,安城鳴子
sessyoin_kiara_(swimsuit_mooncancer),4,660,swimsuit_mooncancer,殺生院キアラ,
dragonfly,0,660,,トンボ,蜻蛉
sky_lantern,0,660,,スカイランタン,"天灯,天燈,孔明灯,孔明燈"
ferret,0,659,,フェレット,
sheffield_(azur_lane),4,659,azur_lane,シェフィールド,"シェフィールド,シェフィールド(μ兵装),谢菲尔德,셰필드"
gilgamesh_(caster)_(fate),4,659,fate,ギルガメッシュ,
taimanin_rpgx,3,659,,対魔忍RPG,
gawain_(fate),4,659,fate,ガウェイン,
meadow,0,658,,草むら,"草地,草原"
sol_badguy,4,658,,ソル=バッドガイ,ソル・バッドガイ
koyama_yuzu,4,658,,小山柚子,小山柚子
bede_(pokemon),4,657,pokemon,ビート,"ビート(ポケモン),ビート(ジムリーダー),ビトユウ,ビトユリ,マサビト,ビトマサ,ビトマリ,彼特"
beretta_1301,0,657,,ベレッタ1301,
videl,4,657,,ビーデル,
kaiou_michiru,4,657,,海王みちる,
reiner_braun,4,657,,ライナー・ブラウン,
alolan_vulpix,4,657,,シロン,アローラロコン
chabashira_tenko,4,657,,茶柱転子,茶柱转子
catsuit,0,657,,キャットスーツ,
kiyohime_(swimsuit_lancer)_(fate),4,657,fate,清姫,
ingrid_(capcom),4,657,capcom,イングリッド,イングリッド
my_melody,4,656,,マイメロディ,"マイメロ,mymelody"
malina_(helltaker),4,656,helltaker,マリーナ,マリーナ
grima_(fire_emblem),4,656,fire_emblem,ギムレー,
ebizuka_tomo,4,656,,海老塚智,
ironmouse,4,656,,アイアンマウス,"ironmouse_fanart,ironmouseart,ironmousefanart"
desert_eagle,0,655,,デザートイーグル,DEagle
spread_armpit,0,655,,腋は性器,腋くぱぁ
mint_fantome,4,655,,ミント・ファントム,"Fantography,ミントLIVE,maid_mint,MintFantome,ミント・ファントーム"
black_vs_white,0,655,,白と黒,"黒と白,黑与白,白与黑"
ichikawa_kyoutarou,4,655,,市川京太郎,
gregor_(project_moon),4,654,project_moon,グレゴール,ムルグレ
imperishable_night,3,654,,東方永夜抄,永夜抄
shez_(fire_emblem),4,654,fire_emblem,シェズ,
pichu,4,654,,ピチュー,
